v1,v2,v3,v4,v5,v6,v7
0.000,0.000,0.840,0.000,0.000,0.000,0.000
0.040,0.005,0.035,0.450,0.010,0.020,0.000
0.015,0.000,0.030,0.335,0.005,0.000,0.000
0.005,0.020,0.020,0.375,0.000,0.020,0.005
0.005,0.035,0.020,0.390,0.000,0.020,0.005
0.000,0.035,0.010,0.485,0.000,0.000,0.000
0.000,0.000,0.805,0.000,0.000,0.000,0.000
0.000,0.000,0.800,0.000,0.000,0.000,0.000
0.010,0.000,0.960,0.000,0.000,0.000,0.005
0.000,0.000,0.925,0.005,0.000,0.000,0.005
0.000,0.000,0.605,0.000,0.000,0.000,0.000
0.000,0.035,0.040,0.505,0.005,0.025,0.000
0.000,0.000,0.775,0.000,0.000,0.000,0.000
0.015,0.000,0.030,0.335,0.005,0.000,0.000
0.020,0.010,0.030,0.665,0.030,0.030,0.000
0.000,0.000,0.975,0.000,0.000,0.000,0.000
0.005,0.000,0.795,0.020,0.005,0.000,0.000
0.100,0.115,0.095,0.470,0.135,0.105,0.095
0.110,0.125,0.085,0.495,0.135,0.110,0.095
0.015,0.010,0.010,0.445,0.010,0.000,0.000
0.020,0.000,0.030,0.370,0.005,0.000,0.000
0.015,0.020,0.040,0.700,0.030,0.050,0.015
0.025,0.000,0.030,0.360,0.010,0.000,0.000
0.000,0.000,0.895,0.005,0.000,0.000,0.000
0.000,0.000,0.910,0.000,0.000,0.000,0.000
0.000,0.000,0.920,0.005,0.000,0.000,0.000
0.005,0.000,0.790,0.000,0.000,0.000,0.000
0.000,0.000,0.425,0.000,0.000,0.000,0.000
0.000,0.000,0.775,0.000,0.000,0.000,0.000
0.000,0.000,0.670,0.000,0.000,0.000,0.000
0.000,0.065,0.025,0.480,0.005,0.030,0.000
0.005,0.000,0.900,0.005,0.000,0.000,0.000
0.000,0.000,0.870,0.000,0.000,0.000,0.000
0.000,0.000,0.935,0.000,0.000,0.000,0.000
0.000,0.000,0.845,0.000,0.000,0.000,0.000
0.020,0.100,0.110,0.555,0.000,0.225,0.010
0.010,0.000,0.915,0.010,0.000,0.015,0.000
0.105,0.090,0.105,0.430,0.145,0.120,0.100
0.000,0.000,0.790,0.000,0.000,0.000,0.000
0.005,0.025,0.020,0.435,0.000,0.035,0.000
0.025,0.000,0.035,0.330,0.005,0.005,0.000
0.000,0.000,0.855,0.000,0.000,0.000,0.000
0.000,0.000,0.765,0.000,0.000,0.000,0.000
0.000,0.000,0.690,0.000,0.000,0.000,0.000
0.105,0.100,0.090,0.495,0.145,0.090,0.105
0.000,0.000,0.985,0.015,0.000,0.000,0.000
0.025,0.035,0.025,0.470,0.005,0.005,0.010
0.025,0.010,0.040,0.325,0.015,0.000,0.000
0.015,0.000,0.030,0.340,0.005,0.000,0.000
0.015,0.005,0.010,0.455,0.000,0.015,0.000
0.005,0.025,0.060,0.450,0.000,0.025,0.000
0.110,0.100,0.090,0.680,0.140,0.115,0.100
0.000,0.020,0.050,0.410,0.000,0.030,0.000
0.005,0.010,0.030,0.415,0.005,0.015,0.000
0.000,0.000,0.890,0.000,0.000,0.000,0.000
0.000,0.000,0.830,0.000,0.000,0.000,0.000
0.005,0.025,0.025,0.430,0.000,0.030,0.005
0.000,0.010,0.010,0.370,0.000,0.000,0.000
0.000,0.000,0.865,0.005,0.000,0.000,0.000
0.005,0.005,0.020,0.270,0.005,0.000,0.000
0.025,0.010,0.045,0.410,0.000,0.020,0.000
0.000,0.000,0.910,0.000,0.000,0.000,0.000
0.015,0.000,0.860,0.035,0.005,0.000,0.000
0.000,0.000,0.855,0.000,0.000,0.000,0.000
0.005,0.005,0.030,0.270,0.000,0.000,0.000
0.005,0.025,0.045,0.455,0.000,0.025,0.000
0.125,0.105,0.095,0.520,0.120,0.095,0.100
0.005,0.020,0.015,0.370,0.000,0.015,0.000
0.000,0.000,0.965,0.010,0.000,0.015,0.000
0.060,0.070,0.890,0.070,0.125,0.100,0.120
0.075,0.090,0.090,0.285,0.125,0.105,0.105
0.005,0.000,0.770,0.000,0.000,0.000,0.000
0.005,0.005,0.020,0.570,0.005,0.005,0.000
0.005,0.005,0.030,0.250,0.000,0.000,0.000
0.000,0.000,0.960,0.000,0.000,0.000,0.000
0.005,0.090,0.025,0.470,0.010,0.040,0.000
0.015,0.025,0.025,0.510,0.005,0.000,0.000
0.000,0.060,0.020,0.460,0.005,0.035,0.000
0.000,0.000,0.840,0.000,0.000,0.000,0.000
0.020,0.060,0.040,0.485,0.020,0.040,0.000
0.005,0.025,0.015,0.415,0.000,0.035,0.005
0.035,0.040,0.030,0.455,0.005,0.005,0.010
0.025,0.035,0.025,0.470,0.005,0.005,0.010
0.000,0.000,0.715,0.000,0.000,0.000,0.000
0.005,0.030,0.025,0.430,0.000,0.035,0.005
0.020,0.000,0.960,0.040,0.005,0.000,0.000
0.005,0.020,0.015,0.370,0.000,0.015,0.005
0.000,0.000,0.895,0.000,0.000,0.000,0.000
0.000,0.080,0.025,0.465,0.005,0.030,0.000
0.080,0.105,0.075,0.470,0.140,0.105,0.105
0.005,0.040,0.050,0.455,0.000,0.030,0.000
0.000,0.000,0.810,0.005,0.000,0.000,0.000
0.060,0.015,0.010,0.300,0.015,0.000,0.010
0.000,0.000,0.980,0.000,0.000,0.000,0.000
0.020,0.000,0.030,0.265,0.000,0.000,0.000
0.000,0.000,0.835,0.010,0.005,0.000,0.000
0.000,0.000,0.830,0.000,0.000,0.000,0.000
0.000,0.000,0.885,0.000,0.000,0.000,0.000
0.015,0.010,0.015,0.435,0.000,0.010,0.000
0.000,0.000,0.830,0.000,0.000,0.000,0.000
0.000,0.000,0.825,0.000,0.000,0.000,0.000
0.000,0.065,0.020,0.480,0.005,0.030,0.000
0.025,0.000,0.040,0.335,0.005,0.005,0.000
0.000,0.000,0.830,0.000,0.000,0.000,0.000
0.000,0.000,0.915,0.005,0.005,0.000,0.000
0.025,0.000,0.840,0.000,0.000,0.000,0.020
0.000,0.000,0.785,0.000,0.000,0.000,0.000
0.000,0.000,0.845,0.000,0.000,0.000,0.000
0.060,0.075,0.800,0.060,0.125,0.090,0.105
0.000,0.015,0.030,0.375,0.000,0.015,0.010
0.000,0.060,0.020,0.460,0.005,0.030,0.005
0.000,0.000,0.975,0.000,0.000,0.000,0.000
0.005,0.020,0.025,0.405,0.000,0.020,0.000
0.000,0.000,0.810,0.000,0.000,0.000,0.000
0.085,0.075,0.760,0.060,0.140,0.095,0.115
0.000,0.000,0.945,0.005,0.000,0.000,0.000
0.015,0.015,0.030,0.665,0.030,0.030,0.000
0.040,0.000,0.870,0.000,0.000,0.000,0.025
0.105,0.085,0.085,0.370,0.120,0.125,0.115
0.010,0.015,0.035,0.460,0.005,0.010,0.000
0.020,0.000,0.785,0.000,0.000,0.000,0.020
0.055,0.065,0.865,0.055,0.135,0.095,0.115
0.005,0.020,0.020,0.365,0.000,0.010,0.005
0.000,0.000,0.765,0.000,0.000,0.000,0.000
0.015,0.005,0.030,0.260,0.005,0.000,0.000
0.000,0.060,0.030,0.480,0.005,0.030,0.000
0.015,0.000,0.035,0.345,0.005,0.000,0.000
0.020,0.010,0.030,0.405,0.005,0.000,0.000
0.025,0.010,0.040,0.405,0.000,0.005,0.000
0.030,0.095,0.025,0.500,0.000,0.030,0.000
